"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 06:20:58 GMT 2024","Wed Apr 10 06:20:58 GMT 2024","90","","test_one","","","","test_amount_lte_0_returns_empty_list",""
"passed","Wed Apr 10 06:20:55 GMT 2024","Wed Apr 10 06:20:55 GMT 2024","81","","test_one","","","","test_nonexisting_animal_types",""
"passed","Wed Apr 10 06:20:51 GMT 2024","Wed Apr 10 06:20:55 GMT 2024","4013","","test_one","","","","test_multiple_types",""
"passed","Wed Apr 10 06:20:55 GMT 2024","Wed Apr 10 06:20:58 GMT 2024","3002","","test_one","","","","test_gte_2_lte_500",""
"passed","Wed Apr 10 06:20:45 GMT 2024","Wed Apr 10 06:20:45 GMT 2024","79","","test_one","","","","test_default_call",""
"passed","Wed Apr 10 06:20:55 GMT 2024","Wed Apr 10 06:20:55 GMT 2024","0","","test_one","","","","test_eq_1_returns_single_fact_not_list",""
"passed","Wed Apr 10 06:20:45 GMT 2024","Wed Apr 10 06:20:49 GMT 2024","3958","","test_one","","","","test_default_type_is_cat",""
"passed","Wed Apr 10 06:20:49 GMT 2024","Wed Apr 10 06:20:51 GMT 2024","1917","","test_one","","","","test_type_is_dog",""
"passed","Wed Apr 10 06:20:58 GMT 2024","Wed Apr 10 06:20:58 GMT 2024","176","","test_one","","","","test_random_then_by_id",""
"passed","Wed Apr 10 06:20:58 GMT 2024","Wed Apr 10 06:20:58 GMT 2024","71","","test_one","","","","test_amount_gte_501_not_allowed",""
